School Name,Degree Level,PGM-CD,Program Name,CIP,Add/Dis/Mov/Red,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,491004,ENVIRONMENTAL MONITORING & ASSESSME,240101,Approved in 2010,0,0,0,0,0,1,5,7,8,8,3,6,4,4
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,491005,ECOSYSTEM RESTORATION,240101,Approved in 2010,0,0,0,0,0,14,13,17,12,14,16,6,0,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,491009,PERSONAL TRAINER,310501,Approved in 2008,0,0,3,11,32,32,43,47,37,35,25,14,17,11
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,495001,GENDER & SEXUALITY STUDIES,50299,Approved in 2005,1,5,30,38,56,58,16,22,18,18,7,5,4,2
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,495002,TRANSFER STUDIES,240199,Approved in 2006,0,0,0,0,0,0,61,106,143,150,120,64,65,34
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,500101,BUSINESS MGMT,520201,,189,183,247,199,200,164,205,249,199,174,177,130,95,58
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,500116,INTELLIGENCE ANALYTICS,520299,Approved in 2007,0,3,9,9,5,5,5,5,3,1,4,3,6,4
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,500117,BUSINESS MNGMNT:DATABASE ADMINISTRA,521201,Approved in 2008,0,0,0,1,4,4,6,6,8,5,0,2,0,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,500201,FINANCIAL ACCOUNTING,520301,,35,23,21,19,37,46,53,59,51,50,53,32,36,32
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,500202,PROFESSIONAL BOOKKEEPER,520302,Approved in 2009,0,0,0,1,9,10,12,16,13,10,5,9,14,22
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,500203,BUSINESS ACCOUNTANT,520305,Approved in 2009,0,0,0,2,22,25,31,27,36,29,20,17,18,10
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,500409,RETAIL MANAGEMENT,521803,Approved in 2006,0,0,0,1,3,2,4,2,0,2,2,62,65,28
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,500425,ENTREPRENEURSHIP,520701,Approved in 2007,0,2,7,10,14,19,15,13,12,10,22,27,12,25
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,500801,VISUAL ARTS,109999,,42,50,50,34,33,24,19,13,10,6,9,11,13,15
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,500802,GAME DEVELOPMENT,109999,Approved in 2014,0,0,0,0,0,0,0,0,1,3,5,5,5,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,500803,VISUAL ARTS PROFESSIONAL-WEB DESIGN,109999,Approved in 2014,0,0,0,0,0,0,0,0,1,1,2,2,1,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,501001,HOTEL/RESTAURANT MANAGEMENT,520904,Approved in 1987,42,39,29,32,44,30,36,33,33,19,25,28,27,27
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,501002,EVENT PLANNING & CATERING,120504,Approved in 2000,8,11,6,13,8,13,18,20,17,17,11,15,14,6
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,501003,BAKING AND PASTRY ARTS,190505,Approved in 2001,40,24,19,48,46,53,52,43,36,30,32,27,30,23
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,501004,HOTEL/LODGING MANAGEMENT,120504,Approved in 2007,0,2,2,1,7,7,8,10,5,4,5,8,6,4
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,501005,CULINARY ARTS ENTREPRENEURSHIP,520701,Discontinued in 2012,0,0,0,6,6,10,5,1,1,0,0,0,0,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,501202,GRAPHIC DESIGN,500409,Approved in 2009,0,0,0,6,10,23,21,28,18,20,16,11,14,12
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,501216,PUBLICATION DESIGN ON THE INTERNET,500402,Discontinued in 2013,11,9,11,13,9,7,10,5,0,1,0,0,0,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,501217,CMP SCI:INTRNT&MOBILE DEVICE SFTWAR,110899,Discontinued in 2013,4,1,0,2,4,1,5,1,0,0,0,0,0,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,509908,"TRNSPRTATION, LOGISTICS & CARGO SEC",520209,Approved in 2008,0,0,0,168,124,14,13,11,12,7,18,4,4,2
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,510101,COMPUTER INFORMATION SYSTEMS,110201,,46,44,40,32,41,50,44,39,21,22,18,26,19,17
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,510102,INFORMATION  & CYBER SECURITY,111003,Discontinued in 2011,0,3,11,13,28,77,30,14,13,7,10,11,0,0
Anne Arundel Community College,LOWER DIVISION CERTIFICATE,510103,COMPUTER INFO SYS:DATABASE ADMINIST,521201,Approved in 2008,0,0,2,8,16,20,11,11,8,8,3,5,5,3
